Date, Time, Elapsed time (sec), Distance (km), Speed (km/h), Latitude, Longitude, Accuracy (meters), Altitude (meters)
15/07/23, 2:54 pm GMT+1, 782, 17.652554261149522, 90.8682357788086, 55.9514889640158, -4.047826630149706, 4.727043628692627, 70.08501249924302
15/07/23, 2:54 pm GMT+1, 783, 17.67751683309215, 89.74269332885743, 55.95157467616192, -4.047455349044761, 4.720407962799072, 70.33585977181792
15/07/23, 2:54 pm GMT+1, 784, 17.701769586087128, 87.99090957641602, 55.951655230061, -4.04709265894829, 4.710081100463867, 70.55727999005467
15/07/23, 2:54 pm GMT+1, 785, 17.72579357467548, 86.08938903808594, 55.95173414107561, -4.046732767539503, 4.705204486846924, 71.31692647654563
15/07/23, 2:54 pm GMT+1, 786, 17.74894432130919, 84.09100341796875, 55.95181402556605, -4.046388723088127, 4.701631546020508, 71.29736556392163
15/07/23, 2:54 pm GMT+1, 787, 17.771966719320996, 82.17068252563477, 55.951891631679175, -4.046045244118809, 4.697098731994629, 71.8035843865946
15/07/23, 2:54 pm GMT+1, 788, 17.794482070066195, 80.8112274169922, 55.95196397177277, -4.045706835019834, 4.6927595138549805, 72.285141649656
15/07/23, 2:54 pm GMT+1, 789, 17.81674876574376, 79.66856002807617, 55.95204414193785, -4.045378461017844, 4.691649436950684, 72.7339485026896
15/07/23, 2:54 pm GMT+1, 790, 17.838265924605675, 78.44704513549804, 55.95212084648314, -4.045060546216586, 4.6896867752075195, 72.59652095939964
15/07/23, 2:54 pm GMT+1, 791, 17.85940440931641, 77.20910568237305, 55.95219853263975, -4.0447500533153, 4.689332485198975, 72.5999891711399
15/07/23, 2:54 pm GMT+1, 792, 17.88044738190683, 76.03291625976563, 55.9522747728104, -4.0444400961606, 4.687352180480957, 72.8942333497107
15/07/23, 2:54 pm GMT+1, 793, 17.90086736600983, 74.7344352722168, 55.952352776325256, -4.044142572967043, 4.686209678649902, 73.12953060306609
15/07/23, 2:54 pm GMT+1, 794, 17.921262014494985, 73.5938346862793, 55.952432190841186, -4.043846694324833, 4.6832356452941895, 73.31191660836339
15/07/23, 2:54 pm GMT+1, 795, 17.941172818932674, 72.4028205871582, 55.9525151370876, -4.043562674214554, 4.679081916809082, 73.41626196913421
15/07/23, 2:54 pm GMT+1, 796, 17.96087735835097, 71.24116744995118, 55.952598271643154, -4.043282579739116, 4.71710205078125, 73.00916225183755
15/07/23, 2:54 pm GMT+1, 797, 17.979623191349262, 69.88625106811524, 55.952678236622035, -4.0430169470909485, 4.732019901275635, 72.48500481527299
