Date, Time, Elapsed time (sec), Distance (km), Speed (km/h), Latitude, Longitude, Accuracy (meters), Altitude (meters)
30/06/23, 4:47 pm GMT+1, 0, 0.0, 0.0, 55.87890008003998, -4.240547893572822, 11.929530143737793, 24.344135284423828
30/06/23, 4:47 pm GMT+1, 1, 0.02095181971987412, 87.2639991760254, 55.8790806262343, -4.240449909124747, 10.9922456741333, 24.344135284423828
30/06/23, 4:47 pm GMT+1, 2, 0.045114206526295955, 87.2639991760254, 55.87928326193736, -4.240308309635394, 10.9922456741333, 62.152836182154715
30/06/23, 4:47 pm GMT+1, 3, 0.06538545656013876, 87.2639991760254, 55.879452767873715, -4.240187276457155, 8.8748197555542, 61.81496028788388
30/06/23, 4:47 pm GMT+1, 4, 0.07901469804148076, 86.76000137329102, 55.87952631636155, -4.2400120366310095, 8.237275123596191, 56.93435267917812
30/06/23, 4:47 pm GMT+1, 5, 0.10705625457872381, 86.76000137329102, 55.879761094760184, -4.239845940871121, 5.271822452545166, 58.701841823756695
30/06/23, 4:47 pm GMT+1, 6, 0.1325214493732317, 92.7360008239746, 55.87996548312557, -4.239660315499935, 4.617208480834961, 62.08688983693719
30/06/23, 4:47 pm GMT+1, 7, 0.15780479388303034, 90.86399917602539, 55.88017418937239, -4.239497809252868, 4.45167350769043, 63.49710504710674
30/06/23, 4:47 pm GMT+1, 8, 0.18307384688665285, 90.86399917602539, 55.88039055209626, -4.239371799517886, 4.319549560546875, 64.54188196267933
30/06/23, 4:47 pm GMT+1, 9, 0.2095998651829888, 92.05199890136718, 55.88061001011865, -4.239203334528862, 4.259426116943359, 65.312475011684
30/06/23, 4:47 pm GMT+1, 10, 0.23551811093303404, 92.33999862670899, 55.88083150504651, -4.239071781671875, 4.2256011962890625, 66.62837422918528
30/06/23, 4:47 pm GMT+1, 11, 0.262904608324572, 94.35599670410157, 55.88106597827473, -4.238935102359254, 4.2026777267456055, 67.99108936451375
30/06/23, 4:47 pm GMT+1, 12, 0.2878842924967431, 93.09600219726563, 55.88128192671451, -4.238822414317952, 4.342330455780029, 67.99108936451375
30/06/23, 4:47 pm GMT+1, 13, 0.3140931595528263, 93.56399917602539, 55.88151099316722, -4.238720578406517, 4.342334270477295, 66.81483801361173
30/06/23, 4:47 pm GMT+1, 14, 0.34133369483289905, 94.93200302124023, 55.881752245536106, -4.238640735679267, 4.3423380851745605, 66.91267892718315
30/06/23, 4:47 pm GMT+1, 15, 0.3666346034643976, 94.93200302124023, 55.88197720014801, -4.238575597315226, 4.342341899871826, 66.20369455683976
30/06/23, 4:47 pm GMT+1, 16, 0.39346148944259285, 94.93200302124023, 55.88221842307513, -4.238550059842107, 4.621771812438965, 66.67256662901491
30/06/23, 4:47 pm GMT+1, 17, 0.420584977917495, 97.99199752807617, 55.882462368065916, -4.238525949853588, 4.621772766113281, 66.67531678173691
30/06/23, 4:47 pm GMT+1, 18, 0.44800099514504865, 97.4879997253418, 55.88270924846319, -4.23853673789052, 4.6217732429504395, 67.77187380194664
30/06/23, 4:47 pm GMT+1, 19, 0.4754168118183572, 97.4879997253418, 55.88295593013997, -4.23855736116803, 4.621774196624756, 68.40151247568429
30/06/23, 4:47 pm GMT+1, 20, 0.5028686486600427, 97.4879997253418, 55.88320276167545, -4.238583818107078, 4.621775150299072, 69.31026491802186
30/06/23, 4:47 pm GMT+1, 21, 0.5303699640474075, 98.20800247192383, 55.88344768404621, -4.238650042184273, 4.621776103973389, 69.4187252400443
30/06/23, 4:47 pm GMT+1, 22, 0.5528902968531209, 97.61301040649414, 55.88365031871746, -4.238633158709021, 4.918580532073975, 64.72472330834717
30/06/23, 4:47 pm GMT+1, 23, 0.5800808478693517, 97.52437133789063, 55.88389141330809, -4.2387100727768185, 4.963208198547363, 64.55920324288309
30/06/23, 4:47 pm GMT+1, 24, 0.6072628076210554, 97.60992736816407, 55.884130699692285, -4.238802574866428, 4.9564409255981445, 63.9653214532882
30/06/23, 4:47 pm GMT+1, 25, 0.6339619835438202, 97.2202766418457, 55.884367175599316, -4.2388806630630675, 4.977809906005859, 63.74890176951885
30/06/23, 4:47 pm GMT+1, 26, 0.6610789992493628, 96.690234375, 55.884605874942366, -4.238973071279946, 4.985344409942627, 63.850712419487536
30/06/23, 4:47 pm GMT+1, 27, 0.688904490190435, 97.88421478271485, 55.88485023428018, -4.239072509756339, 5.018388748168945, 63.555713017471135
30/06/23, 4:47 pm GMT+1, 28, 0.7150367424501977, 95.42305755615234, 55.8850780227726, -4.239178312345017, 5.000180721282959, 63.66101952269673
30/06/23, 4:47 pm GMT+1, 29, 0.7416405782595543, 95.78346405029298, 55.88530846857644, -4.239295522424759, 4.982735633850098, 63.29961153957993
30/06/23, 4:47 pm GMT+1, 30, 0.7686917013783364, 96.27512969970704, 55.8855433250964, -4.239411299593175, 5.02148962020874, 63.6330371433869
30/06/23, 4:47 pm GMT+1, 31, 0.7948025912401864, 94.81138000488282, 55.88576576597721, -4.239547538422838, 5.035287857055664, 62.75775015167892
30/06/23, 4:47 pm GMT+1, 32, 0.8207416820507514, 94.6266586303711, 55.885992678101736, -4.239646871391828, 5.082995891571045, 62.855318162590265
30/06/23, 4:47 pm GMT+1, 33, 0.847486720984005, 95.09355010986329, 55.886224782716994, -4.23976194826383, 5.32730770111084, 62.517646974883974
30/06/23, 4:47 pm GMT+1, 34, 0.8738646698230503, 95.1569206237793, 55.88645471433033, -4.23986873959211, 5.156463146209717, 62.80700593162328
